Column 1,Column 2,Column 3,Column 4,Column 5
Title,Authors,Year,Journal,Link
Efficient Ray Tracing of Large 3D Scenes for Mobile Distributed Computing Environments,Woong Seo et al.,2022,Sensors,https://www.mdpi.com/1424-8220/22/2/491
ZnO/Graphene Composite from Solvent-Exfoliated Few-Layer Graphene Nanosheets for Photocatalytic Dye Degradation under Sunlight Irradiation,Vasanthi Venkidusamy et al.,2023,Micromachines,https://www.mdpi.com/2072-666X/14/1/189
Recent advances in the functionalization of cellulose substrates for SERS sensors with improved performance	,B. Sartori and B. Marmiroli,2025,Frontiers in Nanotechnology,https://www.frontiersin.org/articles/10.3389/fnano.2024.1599944
Nanomaterial-Based Fluorescent Biosensor for Food Safety Analysis,Jiaojiao Zhou et al.,2022,Biosensors,https://www.mdpi.com/2079-6374/12/12/1072
Nanosensors in healthcare: transforming real-time monitoring and disease management with cutting-edge nanotechnology,Shikha Gulati et al.,2025,RSC Pharmaceutics,https://pubs.rsc.org/en/content/articlelanding/2025/pm/d5pm00125k
Smart Biosensors for Cancer Diagnosis Based on Graphene Quantum Dots,Daniela Iannazzo et al.,2021,Cancers,https://www.mdpi.com/2072-6694/13/13/3194
Wnt/Î²-Catenin Signalling and Its Cofactor BCL9L Have an Oncogenic Effect in Bladder Cancer Cells,Roland Kotolloshi et al.,2022,Int. J. Mol. Sci.,https://www.mdpi.com/1422-0067/23/10/5319
An IgM-like inhalable ACE2 fusion protein broadly neutralizes SARS-CoV-2 variants	,Juan Liu et al.,2023,Nature Communications,https://www.nature.com/articles/s41467-023-40933-3
A Review on Biosensors and Recent Development of Nanostructured Materials-Enabled Biosensors,Varnakavi Naresh and Nohyun Lee,2021,Sensors,https://www.mdpi.com/1424-8220/21/4/1109
Continuous Monitoring Biosensing Mediated by Single-Molecule Plasmon-Enhanced Fluorescence in Complex Matrices,"Vincenzo Lamberti, Mathias Dolci, and Peter Zijlstra",2024,ACS Nano,https://pubs.acs.org/doi/10.1021/acsnano.3c11430
Gamma-Ray Analysis of Reed Samples from the Danube Delta,Ana Bianca Pavel et al.,2025,Sensors,https://www.mdpi.com/2076-3417/12/10/5053
Nanoparticle-based biosensors for detection of extracellular vesicles in liquid biopsies,Beatriz Martin-Gracia et al.,2020,J. Mater. Chem. B,https://pubs.rsc.org/en/content/articlelanding/2020/tb/d0tb00861c